PN,DESCRIPTION,COMPONENT PN,CERTIFICATE,QTY,Owner
708902000,"BUTTON,",5145-1-77,Confirm When Quote,8,HX
70902-01973-101,风扇,,Confirm When Quote,2,HX
70925-0003,TRANSIFORMER,11/1/2083,FAA,1,HX
70925-0004,TRANSFORMER,11/1/2083,FAA,2,HX
71012-0002,IC,11/1/2083,EASA,4,HX
711-1024-001,开关,285T0024-20,Confirm When Quote,3,HX
71230-0002,DISPLAY,1/1/2300,EASA,1,HX
71231-0002,LCD,,JAA FORM1,1,HX
71309-0001,IC,2/1/6033,Confirm When Quote,19,HX
713225-111,PAPER,700750-112,FAA,5,HX
713665-2,KNOB,711002-5,FAA,1,HX
71402-0001,同步器,1/1/2057,FAA,1,HX
714-1135-520,"RESISTOR, THERMISTOR PTC",822-1293-001,FAA,8,HX
714-1684-010,VARISTOR,822-0987-003,FAA,1,HX
714902007464W,"PIN,CONTACT SIZE 22",B472AAM,FAA,4,HX
716908,CONNECTOR,,Confirm When Quote,2,HX
718-0423-011,IC,,FAA,2,HX
718-0423-012,IC,,FAA,1,HX
718-0423-013,IC,,FAA,1,HX
718-1015-001,IC,,FAA,2,HX
718-1016-001,IC,,FAA,2,HX
718-1199-005,IC,980-4700-001,Confirm When Quote,1,HX
718-1206-001,IC,980-4700-001,Confirm When Quote,1,HX
718-1207-001,IC,,FAA,1,HX
718-1288-003,IC,965-1690-052,FAA,1,HX
718-1307-001,IC,617-6096-014,FAA,4,HX
718-1384-007,"CIRCUIT,INTEGRATED",066-50008-0405,FAA,3,HX
718-1384-008,"CIRCUIT,INTEGRATED",066-50008-0405,FAA,3,HX
718-1385-003,IC,066-50008-0405,FAA,1,HX
718-1385-006,EPROM,066-50008-0101,FAA,1,HX
718-1443-001,IC,066-50008-0405,FAA,1,HX
718495-2,COUNTER AND SHROUD,711002-5,FAA,2,HX
71A19-1,RSISTOR ADJUSTBLE,,Confirm When Quote,1,HX
720356-001,BOARD,4215-01,EASA,1,HX
72104-0002,SWITCH,2/1/2047,FAA,1,HX
721-0568-030,RESTRICTOR,,OEM COC,2,HX
722-114-001,SCREW,362-021-002,Confirm When Quote,1,HX
722-4159-025,CCA,980-6022-001,FAA,4,HX
722-4159-025,CCA,980-6022-001,FAA,1,HX
722-4298-002,PCB,980-4700-042,FAA,1,HX
722-4298-002,PCB,980-4700-042,FAA,1,HX
722-4298-002,PCB,980-4700-042,FAA,1,HX
722-4383-014,CONTROLLER CCA A2,965-1676-002,FAA,1,HX
722-4785-003,A/D module,066-50008-0405,FAA,1,HX
722-4854-001,CONTROLLER CCA A2,965-1676-003,FAA,1,HX
723145-002,"SWITCH,PUSHBUTTON",4215-02,JAA FORM1,1,HX
72318,"SPACER, .94 O.D., FOAM",903-1341,FAA,24,HX
723313-006,SWITCH PUSH,6026-01,EASA,1,HX
723314-001,SWITCH,6026-01,EASA,3,HX
723402-001,SWITCH,2/1/6033,Confirm When Quote,6,HX
724-005-9014,STUD-TREMINAL,E21327006,FAA,8,HX
724-0638-040,RESISTOR,,Confirm When Quote,2,HX
724-0638-560,RESISTOR,622-4542-420,FAA,1,HX
724-0638-560,RESISTOR,622-4542-420,FAA,9,HX
724-0638-820,RESISTOR,622-7878-201,FAA,4,HX
724-0638-940,RESTRICTOR,4081600-930,FAA,3,HX
724-0639-320,RESISTOR,622-7878-201,FAA,4,HX
724-0639-360,RESTRICTOR,622-4591-512,FAA,1,HX
724-0639-390,RESTRICTOR,622-4591-512,FAA,1,HX
724-0640-100,RESISTOR,,FAA,13,HX
724-0640-880,微RESISTOR,763810-1,FAA,9,HX
724-0641-180,RESTRICTOR,622-4591-512,FAA,1,HX
724-0641-310,RESTRICTOR,622-9436-101,FAA,4,HX
724-0641-310,RESTRICTOR,622-9436-101,FAA,4,HX
724-0648-290,RESTRICTOR,622-4591-512,FAA,1,HX
724-0650-170,RESTRICTOR,622-9436-101,FAA,4,HX
724-0650-170,RESTRICTOR,622-9436-101,FAA,1,HX
724-0650-170,RESTRICTOR,622-9436-101,FAA,1,HX
724-0650-230,RESTRICTOR,622-9436-101,FAA,6,HX
724-0696-050,RESISTOR,622-3890-014,FAA,2,HX
724-0696-160,RESISTOR,622-3890-014,FAA,2,HX
724-0711-070,RESISTOR,822-1710-002,FAA,2,HX
72570RL,CASE BACK,903-1341,FAA,2,HX
726014-004,CONNECTOR,10-61219-179,EASA,2,HX
726031-001,PIN,1/1/2056,EASA,3,HX
726032-001,PIN,,JAA FORM1,2,HX
726263-001,CONNECTOR,2/1/6033,JAA FORM1,2,HX
729330-5,SCREW,763810-1,Confirm When Quote,1,HX
72935-1511,CAPACITOR,11/1/2083,FAA,2,HX
72940-2211,CAPACITOR,11/1/2083,FAA,4,HX
72940-3311,CAPACITOR,11/1/2083,FAA,2,HX
72940-4711,CAPACITOR,11/1/2083,FAA,2,HX
731658,LABEL,785-002-8,EASA,4,HX
7335,LAMP,BPS7-3,OEM COC,10,HX
734-142-9101,TRANSISTOR,2117342-19,FAA,2,HX
735674,LABEL,785-002-8,EASA,10,HX
737362,MICROCIRCUIT,796815-02-03,EASA,5,HX
738499-16,FASTENER,4038170-905,FAA,4,HX
738499-16,FASTENER,4038170-905,FAA,2,HX
740320A0,POWER CONVERTER,785-002-8,EASA,3,HX
7413SYZQE,SWITCH,1153008-1,FAA,1,HX
74-45509-9001,95050-1,,Confirm When Quote,1,HX
745-0701-000,RESISTOR,622-1396-205,FAA,1,HX
745-0710-000,RESISTOR,622-1396-101,Confirm When Quote,1,HX
745-0725-000,RESISTOR,622-3890-020,FAA,6,HX
745-0749-000,RESTRICTOR,622-3890-014,FAA,4,HX
745-0758-000,RESISTOR,622-3890-020,FAA,3,HX
745-0910-140,RESISTOR,822-0693-004,Confirm When Quote,1,HX
745-1370-000,RESISTOR,622-3890-020,FAA,3,HX
745-1447-000,RESISTOR,,Confirm When Quote,1,HX
745-2292-000,RESISTOR,622-5222-102,Confirm When Quote,1,HX
745-2413-000,RESISTOR,622-8001-370,FAA,2,HX
745-3296-000,RESISTOR,622-5272-120,FAA,2,HX
745-5568-000,RESISTOR,822-0990-003,FAA,1,HX
746-3156-611,RESISTOR,622-7998-013,Confirm When Quote,1,HX
747-0437-008,"PANEL ASSEMBLY, REAR",965-1676-003,FAA,1,HX
747-1499-300,RESISTOR,622-7999-013,FAA,1,HX
747-1499-340,RESISTOR,,OEM COC,5,HX
747-2173-350,RES,822-1338-003,FAA,1,HX
747-2173-350,RES,822-1338-003,FAA,3,HX
747-2178-690,RESISTOR,622-7999-002,Confirm When Quote,5,HX
747-2178-870,RESISTOR,"622-5132-109,622-5132-106",FAA,1,HX
747-2179-050,RESISTOR,622-5132-109,FAA,4,HX
747-2179-650,RESISTOR,622-8971-522,FAA,3,HX
747-2183-250,RESISTOR,622-5132-633,FAA,2,HX
7473433005,CAP,93A100-80,FAA,1,HX
747-5327-000,RESISTOR,622-5797-001,Confirm When Quote,3,HX
747-5400-000,RES,822-0990-003,FAA,1,HX
747-5420-000,RESISTOR,822-1293-003,FAA,5,HX
748481-6,CONNECTOR,2100-4043-00,Confirm When Quote,4,HX
74AC74SC,IC,49-170-11,OEM COC,23,HX
74ACT04SC,IC,066-50008-0406,Confirm When Quote,1,HX
74HC02D,IC,759D0000-02,EASA,24,HX
74HC08DCT-ND - 剪切带（CT）,IC,C13042BA08,Confirm When Quote,10,HX
74HC123DCT-ND - 剪切带（CT）,IC,822-1710-001,Confirm When Quote,6,HX
74HC154,IC,980-0800-141,Confirm When Quote,8,HX
74HC367D,IC,9599-607-14901,FAA,48,HX
74HC4017D,IC,9599-607-14942,FAA,11,HX
74HC4020D,IC,9599-607-14942,FAA,11,HX
74HC4060D,IC,759D0000-02,EASA,50,HX
74HC540D,IC,759D0000-02,FAA,9,HX
74HC540D,IC,759D0000-02,EASA,24,HX
74HCT273M,IC,49-170-11,FAA,90,HX
7500054-331,CAPACITOR,7517800-10001,FAA,18,HX
7500057-2,IC,7517800-10005,FAA,1,HX
7501-00045-08,电源,42-009-01,Confirm When Quote,1,HX
751377A007,导线,,Confirm When Quote,1,HX
7517895-105,MICROCIRCUIT,7517800-10004,FAA,2,HX
7530496,"KNOB, BALL",600622-00-502,EASA,10,HX
754-8415-001,WINDOWS,622-5048-104,OEM COC,2,HX
75567495146,LIGHTING ASSY,C16235AA,FAA,2,HX
756031-001,IC,,FAA,1,HX
759033-001,IC,,Confirm When Quote,1,HX
760830,KNOB,711002-5,FAA,1,HX
763810-2,CPC,763810-2,FAA,1,HX
768-3387-004,架,622-5272-120,Confirm When Quote,1,HX
7703-00176-04,电路板组件,42-009-01,Confirm When Quote,1,HX
77072,SCREW,APE 5100-1,EASA,1,HX
773-318-42,WASHER,3214-91,EASA,3,HX
774033,"CARD,MOTHER",759C0000-02,EASA,2,HX
774034,"CARD,LINK",759D0000-02,EASA,1,HX
774-057-75,LOCK,3250-80,EASA,4,HX
774-057-98,SPRING,3250-80,EASA,7,HX
774-057-98,SPRING,3250-80,EASA,3,HX
774-057-98,SPRING,3250-80,EASA,2,HX
774-058-07,COVER,3250-80,EASA,5,HX
774-077-48,INDUCATANCE,3250-80,EASA,1,HX
774-077-55,TRANSFORMER,3250-80,EASA,1,HX
774-077-83,COVER,3250-31,EASA,1,HX
774-091-96,BUMPER,3250-31,EASA,13,HX
774-093-10,CONTROL MODULE,3250-30,EASA,1,HX
774-093-11,CONTROL MODULE,3250-80,Confirm When Quote,1,HX
774-093-14,MODULE,3250-31,EASA,3,HX
774-093-73,HOLDER,3250-80,EASA,4,HX
774-115-14,FUSE,4041-70,EASA,20,HX
774-115-38,MOUNTING BAR 70,4041-70,EASA,1,HX
774-115-91,FUSE,4041-70,EASA,17,HX
774-126-46,PRINTED CIRCUIT BOARD,3250-81,EASA,1,HX
774-126-46,PRINTED CIRCUIT BOARD,3250-81,EASA,1,HX
774-136-81,"INDUCTION, ASSY",10/4/4197,EASA,1,HX
774-139-90,CHOKE ASSEMBLY,3250-81,EASA,1,HX
774-144-55,FIXTURE,4197-20-02,EASA,2,HX
774177,CARD CPU,759D0000-02,EASA,1,HX
774781,LABEL,785-002-8,EASA,2,HX
774782,LABEL,785-002-7,EASA,1,HX
779-131-66,CAPACITOR,3250-81,Confirm When Quote,8,HX
779-131-78,CAPACITOR,3250-81,OEM COC,1,HX
779-131-80,CAP,3250-81,EASA,9,HX
779-131-81,CAP,3250-30,OEM COC,4,HX
779-131-81,CAP,3250-30,OEM COC,10,HX
779-131-90,CAP,3250-30,OEM COC,5,HX
779-131-90,CAP,3250-30,Confirm When Quote,5,HX
779-131-93,CAPACITOR,4041-70,OEM COC,2,HX
779-131-93,CAPACITOR,4041-70,Confirm When Quote,44,HX
779-132-05,CAPACITOR,4041-70,Confirm When Quote,34,HX
779-132-06,CAPACITOR,4041-70,OEM COC,7,HX
779-132-06,CAPACITOR,4041-70,Confirm When Quote,30,HX
779-172-56,INDUCTOR,4041-70,Confirm When Quote,9,HX
779-195-10,TUBE,4041-70,OEM COC,1,HX
779-195-10,TUBE,4041-70,Confirm When Quote,40,HX
779-201-40,TRANSISTOR,3214-92,EASA,4,HX
779-201-67,DMOS FET,3352-21,OEM COC,2,HX
779-208-02,IC,3250-81,FAA,1,HX
779-208-29,TRIAC,3250-81,OEM COC,1,HX
779-221-73,IC,3214-92,OEM COC,1,HX
779376,IC,759D0000-02,EASA,2,HX
779411,IC,785620-3,EASA,1,HX
779-415-70,PIN,3250-81,JAA FORM1,4,HX
779-415-71,CONNECTOR,3250-80,Confirm When Quote,5,HX
779-415-72,RACKET,3250-81,Confirm When Quote,1,HX
779-415-75,RECEPTACLE,3214-90,OEM COC,1,HX
779-435-51,FUSE,3214-62-10,Confirm When Quote,2,HX
779-435-52,FUSE,3214-90,Confirm When Quote,4,HX
779-480-87,relay,3214-62-10,OEM COC,3,HX
779-480-94,relay,3214-91,EASA,1,HX
779-481-17,relay,3214-62-10,OEM COC,1,HX
779-526-74,SCREW,3214-92,Confirm When Quote,2,HX
779-527-66,"SCREW,SPECIAL,RD HD",3250-81,OEM COC,17,HX
779-532-79,RIVET,4041-70,OEM COC,26,HX
779-540-63,NUT,4041-48,OEM COC,9,HX
779-542-03,"CLIP, RETAINING",4041-48,OEM COC,9,HX
779-810-28,RESISTOR,4188-01,Confirm When Quote,10,HX
779-814-04,RESISTOR,4188-01,OEM COC,15,HX
779-860-19,DIODE,S417N514-70,Confirm When Quote,4,HX
779-861-02,DIODE,3250-31,OEM COC,3,HX
779-868-16,IC,4197-20-04,OEM COC,2,HX
779-870-32,IC,4188-01,OEM COC,4,HX
779-886-37,IC,3214-62-10,Confirm When Quote,1,HX
783-868,SPACER,E19854BB02,EASA,5,HX
78M15CT,"IC,VOLTAGE REGULATOR",759D0000-02,FAA,2,HX
791-8136-002,垫片,,Confirm When Quote,1,HX
791-8512-002,齿杆,,Confirm When Quote,2,HX
791-8514-001,齿轮,,Confirm When Quote,2,HX
792-6140-001,COUPLER,792-6140-001,FAA,1,HX
797-1504-001,电机壳,,Confirm When Quote,3,HX
80001-33,TRANSISTOR,,Confirm When Quote,5,HX
80001-36,TRANSISTOR,4082499-903,Confirm When Quote,5,HX
80007-50-1,FILTER,,Confirm When Quote,1,HX
8001-10-2006,HEATING ELEMENT,8202-16-0000-11,EASA,2,HX
800125-001,Microphone Assembly,64300-200,FAA,1,HX
800160-001,齿轮,,JAA FORM1,1,HX
80-01-96825,RECEIVER CAPSULE,89-01-07042,EASA,3,HX
800-248-041,MCDU键盘,174101-02-01,CAAC,4,HX
800314-2,FASTENER - CAPTIVE,7123-19973-01AA,FAA,4,HX
80081201-017,SPRING,RD-AV1216-01,Confirm When Quote,1,HX
80081701-023,LEVER,RD-AV1216-01,Confirm When Quote,1,HX
801802000,CAP,285A1300-1,FAA,1,HX
80-22-96844,MICROPHONE UNIT,89-01-07042,EASA,1,HX
8050506-0001,Shield,066-50008-0406,FAA,2,HX
8050508-0001,WASHER,2041220-0401,FAA,7,HX
8050757-0001,ARM INDICATOR,8055515-4501,FAA,3,HX
8050776-0509,"PLATE, REAR",8055515-4501,FAA,1,HX
8050784-0503,BLOCK,8055515-4501,FAA,6,HX
8050809-0002,LENS,8055515-4507,FAA,1,HX
8050809-0005,8050809-0005,8055515-4507,FAA,2,HX
8050809-0008,"LENS,INDICATOR",8055515-4507,JAA FORM1,3,HX
8050836-0001,DECAL,8055515-4501,FAA,2,HX
8050836-0002,DECAL,8055515-4501,FAA,3,HX
8050917-0006,PAPER,8055515-4507,FAA,1,HX
8056201-0503,MODULE POWER,8055515-4507,FAA,1,HX
8056605-0504,PCB,8055515-4501,FAA,1,HX
8056761-0501,"MODULE, SENSOR LIGHT",8055515-4501,FAA,1,HX
8057256-0506,Cable,,FAA,1,HX
8057483-0503,ASSY CABLE,8055515-4501,FAA,2,HX
8057483-0504,Cable,8055515-4501,FAA,2,HX
8057483-0504,Cable,8055515-4501,FAA,2,HX
8064022-0504,AUDIO MODULE,066-50008-0406,FAA,1,HX
8064025-0503,"MODULE, INTERCONNECT",066-50008-0101,FAA,2,HX
8064098-0503,Cable,066-50013-0202,FAA,1,HX
81001-37601,LENS ASSY,81000-37601,FAA,1,HX
811179-1,VARIABLE RESISTOR,711002-5,FAA,1,HX
812-1030-0971-506,Indicator Light(Green),607510-3,FAA,1,HX
812-1030-0972-506,Indicator Light(RED),607510-3,FAA,1,HX
8121-500X7R682K,CAP,,Confirm When Quote,6,HX
812-364,ZENER DIODE,,OEM COC,5,HX
812-370,ZENER DIODE,,OEM COC,2,HX
813270-2,LCD驱动模块,824392-1-003,FAA,5,HX
813270-4,LCD,7123-19973-02AB,FAA,5,HX
814-023,柱套,,OEM COC,10,HX
8141-050-651,CAP,,Confirm When Quote,9,HX
814454-3,CONNECTOR,824392-1-002,FAA,1,HX
814496-1,KNOB,7123-19973-03AB,FAA,1,HX
81488,CABLE S/A WITH PJ-068 CONNECTOR,903-1341,FAA,1,HX
819930-1,SWITCH,7123-19973-03AB,FAA,2,HX
819947-1,OSCILLATOR,7123-19973-03AC,FAA,1,HX
821574-1,SOCKET PLUG IN,C202163382D32,FAA,8,HX
82-19-1040-16,FASTENER,2013-1A,Confirm When Quote,6,HX
822068-4,"SOCKET, PLCC44",2233000-816-1,FAA,2,HX
822-0987-003,FILTER,822-0987-003,CAAC,1,HX
822-1047-003,VHF收发机,822-1047-003,CAAC,1,HX
822-1710-002,receiver-transmitter,822-1710-002,FAA,1,HX
822843-4,SETSCREW,10037-0770,FAA,8,HX
8232-0403,"SCREW,FLAT",8055515-4501,FAA,1,HX
8232-0403,"SCREW,FLAT",8055515-4501,FAA,2,HX
8232-0404,SCREW,8055515-4501,FAA,1,HX
82343,CASE FRONT,903-1341,FAA,5,HX
824389-4,HARNESS - WIRE,7123-19973-01AA,FAA,1,HX
82-46-101-41,WASHER,233A7201-2,FAA,98,HX
827-0060-001,PUSH BOTTON,622-8590-108,FAA,1,HX
827-0061-001,PUSH BUTTON,622-8590-112,FAA,1,HX
827-0062-001,"PUSHBUTTON, ACT-STD",622-8590-112,FAA,1,HX
827-0345-001,CABLE ASSEMBLY,622-8971-022,FAA,1,HX
827-0722-003,FUSE,622-7878-201,FAA,2,HX
827-1251-003,REAR INTERCONNECT,622-9436-101,FAA,1,HX
827-1499-002,RECERVER INSULATER,,Confirm When Quote,1,HX
827-3340-001,电路板卡,622-5132-106,OEM COC,1,HX
827-3350-003,MULTIPLIER,822-1710-001,FAA,1,HX
827-3387-071,Cable,822-1710-002,FAA,1,HX
827-3555-0001,螺钉,622-5272-001,Confirm When Quote,1,HX
827-6210-001,PUSH BUTTON,622-8590-108,FAA,1,HX
827-9949-031,"BRACKET, HOLD DOWN",822-1567-102,FAA,6,HX
827-9949-032,RAIL,822-1567-102,FAA,2,HX
828-0128-001,电路板组件,622-5132-106,OEM COC,1,HX
828-0471-802,A31 SAMPLER BOARD,822-1710-002,FAA,1,HX
828-1547-001,CIRCUIT CARD,822-1338-003,FAA,2,HX
828-4458-001,MODULATOR,822-0297-001,FAA,1,HX
829-0177-001,标牌,822-0732-101,Confirm When Quote,1,HX
829-0356-006,"PLATE, IDENTIFICATION",822-1567-101,FAA,2,HX
829-5067-221,"DISK, DATA A3",622-8971-322,FAA,1,HX
829-5067-222,DISK,,FAA,1,HX
829-5068-221,"DISK, DATA A3",622-8971-322,FAA,1,HX
829-5068-222,DISK,,FAA,1,HX
829-5069-221,"DISK, DATA A2",622-8971-322,FAA,1,HX
829-5069-222,DISK,,FAA,1,HX
829-5070-221,"DISK, DATA A4",622-8971-322,FAA,1,HX
829-5070-222,DISK,,FAA,1,HX
829-6620-708,"DISK, DATA A3M CPUA",622-8971-022,FAA,1,HX
829-6621-708,"DISK, DATA A2",622-8971-022,FAA,1,HX
829-6622-708,"DISK, DATA A3A CPUB",622-8971-022,FAA,1,HX
829-6623-708,"DISK, DATA A4",622-8971-022,FAA,1,HX
82-99-604-100,STUD,233A7201-2,FAA,1,HX
830-0321-001,WASHER,,Confirm When Quote,2,HX
830-0322-001,WASHER,,Confirm When Quote,1,HX
830-0510-003,"PLATE, MOUNTING",822-0409-101,FAA,1,HX
830-0702-001,WASHER,822-1567-101,FAA,5,HX
83008-05601,HEAT SINK ASSY,83000-05602,FAA,1,HX
830-1839-001,"BOOT,SEALING",,OEM COC,1,HX
8302401EX,IC,762185G,FAA,2,HX
830-3369-001,PUSHBUTTON,822-1494-103,FAA,2,HX
830-5949-006,"CABLE ASSEMBLY,W11",822-1710-204,FAA,1,HX
830-6262-004,HEATSINK,822-1338-001,FAA,2,HX
830-7093-001,"FILTER, ASSEMBLY",822-1293-332,FAA,1,HX
830-7121-001,CABLE ASSEMBLY,822-1293-332,FAA,2,HX
830-7121-003,Cable,822-1293-003,FAA,2,HX
830-7529-018,CLIP RING,822-1567-102,FAA,7,HX
830-7587-001,PUSHBUTTON,S242T404-381,FAA,1,HX
830-8181-007,INTV Cover Switch,822-1567-102,FAA,4,HX
830-8181-008,SCREW,822-1567-101,FAA,8,HX
830-8181-012,SCREW,822-1567-101,FAA,10,HX
830-8729-003,RIBBON CABLE ASSY,822-1567-101,FAA,2,HX
830-8730-001,"SWITCH,TOGGLE",822-1494-103,FAA,3,HX
831-1035-001,IC,622-9436-101,FAA,2,HX
831-1037-001,IC,622-9436-101,FAA,1,HX
831-1038-001,IC,622-9436-101,FAA,3,HX
831-1040-001,IC,622-9436-101,FAA,5,HX
831-1041-001,IC,622-9436-101,FAA,3,HX
831-1042-001,IC,622-9436-101,FAA,3,HX
831-1043-001,IC,622-9436-101,FAA,4,HX
831-1044-001,IC,622-9436-101,FAA,4,HX
831-1044-001,IC,622-9436-101,FAA,1,HX
83117-05601,TRANSFORMER,83000-05604,FAA,1,HX
83121-05603,PLATE CONTACT,83000-05602,FAA,5,HX
83121-05603,PLATE CONTACT,83000-05602,FAA,5,HX
831-2352-221,"DISK, DATALOAD DISKS",622-8971-322,FAA,1,HX
831-2352-222,DISK,622-8971-322,Confirm When Quote,1,HX
831-2414-001,MICROCIRCUIT,822-0299-020,FAA,1,HX
831-2659-002,IC,622-5219-120,Confirm When Quote,36,HX
831-2838-708,"DISK, DATALOAD DISKS",622-8971-022,FAA,1,HX
83151-05601,THYRISTOR,83000-05604,EASA,1,HX
831-5466-009,DSP ASSEMBLY,822-1293-003,FAA,1,HX
831-5783-001,"MICROCIRCUIT, MODIFIED",822-1250-002,FAA,1,HX
831-6409-007,DSP,822-1710-204,FAA,1,HX
831-8598-001,MICROCIRCUIT,822-1250-002,FAA,1,HX
831-9905-871,IC,822-1710-214,FAA,1,HX
833-1008-240,"RESISTOR, VARIABLE",822-1293-003,FAA,3,HX
833-1008-280,"RESISTOR, VARIABLE",822-1293-003,FAA,3,HX
833-355-251,"Key ""RESET""",ST3100-26-18,EASA,4,HX
833-4004-010,RESISTOR,822-1710-002,FAA,4,HX
833-5515-010,RESISTOR,622-3255-001,FAA,7,HX
833-5515-020,IC,,FAA,3,HX
833-6030-470,RESTRICTOR,622-4591-512,FAA,2,HX
833-6046-140,RES,822-1338-003,FAA,1,HX
833-6048-630,RESISTOR,622-7878-201,FAA,2,HX
833-6050-100,RESISTOR,822-1293-003,FAA,1,HX
833-6050-400,RESISTOR,622-7878-201,FAA,2,HX
833-6051-400,RESISTOR,,OEM COC,2,HX
833-6051-650,RESISTOR,822-1710-001,FAA,2,HX
833-6052-320,RESISTOR,622-7878-201,FAA,2,HX
833-6053-300,RESISTOR,822-1567-102,FAA,4,HX
833-6053-320,RESISTOR,,OEM COC,2,HX
833-6526-300,RESISTOR,822-1338-002,FAA,4,HX
833-6526-660,RESISTOR,822-1293-003,FAA,1,HX
833-8007-020,RESTRICTOR,792-6140-001,FAA,2,HX
833-8007-020,RESTRICTOR,792-6140-001,FAA,2,HX
833-9017-030,ATTENUATOR,822-0990-003,FAA,2,HX
833-9017-030,ATTENUATOR,822-0990-003,FAA,2,HX
834-1002-530,CAP,822-1152-002,FAA,2,HX
834-1027-970,CAPACITOR,622-7878-201,FAA,4,HX
834-1037-530,CAPACITOR,822-1338-003,FAA,2,HX
834-2008-090,CAPACITOR,822-1152-122,FAA,9,HX
834-2008-160,CAP,822-0990-003,FAA,2,HX
834-2008-200,CAPACITOR,822-0990-003,FAA,1,HX
834-2008-220,CAPACITOR,822-1152-002,FAA,5,HX
834-5005-290,CAPACITOR,822-0299-001,FAA,1,HX
834-5005-370,CAP,822-0990-003,FAA,35,HX
834-5006-020,CAPACITOR,622-8971-322,FAA,20,HX
834-5008-330,CAPACITOR,822-1293-003,FAA,1,HX
834-5008-370,CAP,822-0299-020,FAA,1,HX
834-5041-020,CAP,622-5219-004,FAA,1,HX
834-5057-010,CAPACITOR,822-1567-102,FAA,6,HX
834-5089-010,CAPACITOR,822-0334-002,FAA,2,HX
834-6104-010,DIODE,622-2921-006,FAA,1,HX
834-6156-050,DIODE,622-8971-022,FAA,1,HX
834-6156-130,DIODE,822-1338-003,FAA,8,HX
834-742-337,MAGNET SET,HC3100-25-10,EASA,2,HX
835-0010-060,MICROCIRCUIT,622-5132-633,FAA,5,HX
835-0028-020,IC,822-1710-204,FAA,2,HX
835-0032-020,MICROCIRCUIT,822-0299-020,FAA,1,HX
835-0032-020,MICROCIRCUIT,822-0299-020,FAA,1,HX
835-0034-010,IC,822-0323-020,FAA,6,HX
835-0035-020,IC,622-7878-201,FAA,2,HX
835-0041-010,MICROCIRCUIT,822-0299-020,FAA,1,HX
835-0057-030,MICROIRCUIT,822-0297-020,FAA,1,HX
835-0066-060,IC,827-3448-001,FAA,4,HX
835-0085-220,IC,,Confirm When Quote,1,HX
835-0100-070,IC,622-9436-101,FAA,3,HX
835-0100-070,IC,622-9436-101,FAA,6,HX
835-0100-070,IC,622-9436-101,FAA,3,HX
835-0136-020,IC,822-1710-002,FAA,1,HX
835-0136-020,IC,822-1710-002,FAA,4,HX
835-0136-020,IC,822-1710-002,FAA,6,HX
835-0168-010,IC,622-3257-001,Confirm When Quote,1,HX
835-0177-020,IC,822-0334-002,FAA,1,HX
835-0177-020,IC,822-0334-002,FAA,4,HX
835-0177-020,IC,822-0334-002,Confirm When Quote,1,HX
835-0183-020,IC,622-5132-633,FAA,1,HX
835-0199-010,IC,822-1710-001,FAA,6,HX
835-0201-010,IC,822-1710-002,FAA,10,HX
835-0201-010,IC,822-1710-002,FAA,4,HX
835-0212-020,IC,822-1710-002,FAA,1,HX
835-0233-030,IC,822-1710-001,FAA,2,HX
835-0264-010,MICROCIRCUIT,822-0299-020,FAA,2,HX
835-0277-010,IC,822-1710-002,FAA,2,HX
835-0301-020,IC,822-1567-102,FAA,1,HX
835-0301-020,IC,822-1567-102,FAA,3,HX
835-0362-070,IC,822-0990-003,FAA,1,HX
835-0362-070,IC,822-0990-003,FAA,2,HX
835-0363-020,MICROCIRCUIT,822-0990-002,FAA,1,HX
835-0365-010,IC,822-1293-003,FAA,2,HX
835-0375-010,MICROCIRCUIT,822-1293-322,FAA,2,HX
835-0386-020,"IC, LOG AMP",964-0452-011,FAA,2,HX
835-0386-020,"IC, LOG AMP",964-0452-011,FAA,5,HX
835-0502-020,MICROCIRCUIT,822-0409-101,FAA,2,HX
835-0502-030,MICROCIRCUIT,822-0409-201,FAA,2,HX
835-0530-010,IC,622-5132-633,FAA,1,HX
835-0569-020,IC,622-5132-633,FAA,1,HX
835-0732-010,MICROCIRCUIT,822-1293-003,FAA,2,HX
835-0751-030,IC,822-1710-001,FAA,1,HX
835-1593-010,MICROCIRCUIT,822-0323-020,FAA,1,HX
835-1594-020,IC,822-0323-020,FAA,2,HX
835-1608-010,MICROCIRCUIT,822-0297-001,FAA,1,HX
835-1615-020,"Microcircuit,",822-1710-002,FAA,1,HX
835-1624-020,IC,822-0299-001,FAA,4,HX
835-1709-010,MICROCIRCUIT,822-0990-003,FAA,4,HX
835-1821-020,IC,622-5219-001,Confirm When Quote,7,HX
835-2010-050,IC,622-5132-106,FAA,2,HX
835-2010-050,IC,622-5132-106,FAA,5,HX
835-2010-080,IC,822-1710-002,FAA,1,HX
835-2022-010,NVM ROM,622-7878-201,FAA,2,HX
835-2069-010,MICROCIRCUIT,,FAA,4,HX
835-2069-020,IC,"822-1152-002,822-1293-003",FAA,2,HX
835-2089-010,IC,622-5132-633,FAA,2,HX
835-2089-010,IC,622-5132-633,FAA,2,HX
835-3642-020,IC,822-0334-003,Confirm When Quote,2,HX
835-3702-010,IC,822-1710-001,FAA,1,HX
835-4007-010,IC,622-5132-633,FAA,10,HX
835-4007-010,IC,622-5132-633,FAA,5,HX
835-4017-040,IC,622-5132-633,FAA,8,HX
835-4053-050,MICROCIRCUIT,822-1338-003,FAA,6,HX
835-4506-060,IC,822-1710-001,FAA,1,HX
